Clone	PY06	SG06	DM06	ST06	NS06	NI06	PY07	FM07	SG07	DM07	ST07	NS07	NI07	PY08	FM08	SG08	DM08	ST08	NS08	NI08	PY14	FM14	SG14	DM14	ST14	NS14	NI14
B2721-118	2.86670	1.06648	19.70700	2.00000	9.00000	0.00000	1.18200	66.13000	1.07435	20.23600	2.00000	8.95000	2.50000	0.60700	99.00000	1.08248	23.49200	2.00000	9.00000	0.00000	0.72650	93.25000	1.03398	19.34800	2.50000	9.00000	9.00000
B2721-119	2.00000	1.08136	22.49600	2.00000	7.45200	64.50000	0.70850	35.50000	1.07664	20.79600	1.00000	7.77500	45.00000	0.82550	8.87000	1.06128	20.65800	1.50000	7.75000	42.50000	0.50900	83.75000	1.07868	21.99200	2.00000	7.67500	40.00000
B2721-120	2.07500	1.07396	21.39500	3.00000	9.00000	0.00000	0.89500	89.62000	1.07349	23.32600	2.00000	8.92500	5.00000	0.72850	108.88000	1.07244	26.51700	2.50000	9.00000	0.00000	0.47800	93.25000	1.07026	20.39400	2.00000	8.85000	5.00000
B2721-121	2.38750	1.07751	21.41300	2.00000	8.97500	2.50000	0.79950	86.00000	1.08316	21.38500	2.00000	8.85000	12.50000	0.69450	97.63000	1.07452	21.74200	3.00000	9.00000	0.00000	1.00800	93.25000	1.07988	21.02400	3.00000	8.27500	8.27500
B2721-122	2.15830	1.06020	17.78800	1.00000	8.71700	15.20000	1.04250	93.37000	1.07240	20.25700	2.00000	8.95000	2.50000	0.58400	91.88000	1.06625	17.46700	3.00000	9.00000	0.00000	0.68700	93.25000	1.06831	20.49700	2.50000	8.90000	7.50000
B2721-123	2.60000	1.07346	21.60900	1.00000	8.77300	11.40000	1.18250	89.75000	1.08152	22.30600	0.00000	9.00000	0.00000	0.49400	83.00000	1.07203	17.36600	0.00000	8.97500	2.50000	0.86550	85.75000	1.06605	21.46400	2.00000	9.00000	9.00000
B2721-124	1.26670	1.05657	17.96000	2.00000	9.00000	0.00000	0.61250	64.12000	1.05855	18.92000	2.00000	8.77500	5.00000	0.44750	57.75000	1.05936	18.25500	1.00000	9.00000	0.00000	0.38050	87.50000	1.07312	18.56700	1.50000	9.00000	0.00000
B2721-125	1.07500	1.06102	17.84500	1.00000	8.96700	3.30000	0.77700	67.75000	1.07362	19.62500	0.50000	8.95000	5.00000	0.42300	113.25000	1.07459	20.14300	0.00000	9.00000	0.00000	0.32950	90.37500	1.06591	18.15400	1.00000	8.97222	8.97222
B2721-126	1.54000	1.07589	21.59200	1.00000	9.00000	0.00000	0.99950	59.13000	1.07400	20.12700	1.50000	8.95000	5.00000	0.44850	56.13000	1.07058	24.23700	1.00000	9.00000	0.00000	0.44950	85.75000	1.06516	19.35200	2.00000	8.95000	5.00000
B2721-127	1.08330	1.06507	18.17400	3.00000	8.52200	17.40000	0.93000	82.37000	1.06923	19.33900	3.00000	8.57500	25.00000	0.49750	114.88000	1.07109	17.99600	3.00000	9.00000	0.00000	0.36700	98.12500	1.07776	19.19500	3.00000	8.85000	8.85000
B2721-128	1.55000	1.07261	20.60400	2.00000	9.00000	0.00000	0.87250	49.87000	1.07521	19.35200	2.00000	9.00000	0.00000	0.65650	48.88000	1.06845	21.09600	1.50000	8.95000	2.50000	0.68850	83.75000	1.07062	19.17700	2.50000	8.85000	7.50000
B2721-129	2.11670	1.06824	18.97100	2.00000	8.84800	12.10000	1.10250	77.25000	1.07078	20.47600	2.00000	6.45000	62.50000	1.00200	64.63000	1.06548	21.96800	1.50000	8.52500	15.00000	0.61000	91.50000	1.07880	20.10800	3.00000	7.36667	7.36667
B2721-130	1.20000	1.06849	19.78000	0.00000	9.00000	0.00000	0.79900	126.25000	1.08038	21.17300	0.00000	9.00000	0.00000	0.30100	144.00000	1.07244	14.26300	0.00000	9.00000	0.00000	0.36950	100.12500	1.06854	19.53400	1.00000	9.00000	9.00000
B2721-131	2.85830	1.05971	18.32900	2.00000	9.00000	0.00000	1.76850	59.00000	1.07007	20.84800	2.00000	8.75000	22.50000	1.01450	53.25000	1.05840	18.92700	2.00000	8.87500	10.00000	0.96300	82.87500	1.05725	18.35300	2.50000	8.12500	35.00000
B2721-132	1.30000	1.07409	20.52500	2.00000	5.66700	73.30000	0.60660	73.83000	1.07622	21.86200	2.50000	4.97500	90.00000	0.49400	113.38000	1.07929	25.25700	3.00000	8.67500	17.50000	0.26450	93.25000	1.06597	NA	3.00000	4.48421	4.48421
B2721-133	2.83330	1.06535	18.94500	0.00000	8.89500	10.50000	0.93400	55.50000	1.07049	19.91700	2.00000	8.95000	2.50000	0.91000	45.75000	1.05793	15.65800	1.00000	9.00000	0.00000	0.67750	91.50000	1.06179	18.91700	2.00000	8.85000	7.50000
B2721-134	1.98330	1.07356	20.88100	0.00000	9.00000	0.00000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2721-135	1.83330	1.08095	22.54700	2.00000	8.95200	4.80000	1.33000	53.50000	1.07389	20.41900	1.50000	8.72500	20.00000	0.80650	53.13000	1.06138	20.70100	3.00000	9.00000	0.00000	0.71050	85.75000	1.07236	21.19600	2.50000	8.87500	8.87500
B2721-136	1.85000	1.06332	18.55300	1.00000	9.00000	0.00000	0.81550	75.25000	1.07408	20.49100	1.00000	8.95000	2.50000	0.50450	90.25000	1.07425	24.52500	0.50000	9.00000	0.00000	0.58050	95.25000	1.06426	19.52400	3.00000	8.97500	2.50000
B2721-137	2.19170	1.07286	20.58600	2.00000	9.00000	0.00000	0.91350	69.87000	1.07236	20.80700	2.00000	9.00000	0.00000	0.48100	100.38000	1.06444	18.41200	3.00000	9.00000	0.00000	0.61200	95.25000	1.06883	18.59300	3.00000	8.95000	8.95000
B2721-138	1.49170	1.06893	21.19100	1.00000	8.12100	33.30000	0.83800	48.13000	1.07148	19.96500	2.00000	5.77500	90.00000	0.49950	64.25000	1.06593	17.50400	1.00000	8.92500	7.50000	0.47800	88.62500	1.07061	21.15600	2.50000	7.75000	47.50000
B2721-139	1.66670	1.07607	21.03200	2.00000	8.96200	3.80000	0.72150	64.00000	1.07608	20.26400	1.50000	8.90000	10.00000	0.39800	122.13000	1.07766	19.74700	3.00000	9.00000	0.00000	0.54500	93.25000	1.08061	20.45700	2.00000	8.97500	8.97500
B2721-140	1.95000	1.06043	18.57400	2.00000	9.00000	0.00000	0.80600	86.00000	1.06789	18.72300	1.50000	9.00000	0.00000	0.45650	103.63000	1.06810	22.96200	0.50000	9.00000	0.00000	0.54300	88.62500	1.05888	18.23600	2.50000	8.95000	8.95000
B2721-141	2.77500	1.08085	22.36700	2.00000	9.00000	0.00000	0.98300	108.00000	1.08844	24.13200	1.50000	9.00000	0.00000	0.54650	126.00000	1.08222	22.62300	2.00000	9.00000	0.00000	1.02550	93.25000	1.07258	19.97100	2.50000	8.92500	2.50000
B2721-142	2.04170	1.07441	22.76400	0.00000	6.27000	89.20000	1.08490	54.67000	1.08345	22.53500	0.00000	8.75000	20.00000	0.46350	48.38000	1.07549	22.46300	0.00000	9.00000	0.00000	0.50050	84.87500	1.07500	22.05300	0.50000	8.88676	8.88676
B2721-143	1.30000	1.07928	23.59300	2.00000	8.12500	31.30000	0.52350	77.00000	1.08189	23.14500	1.00000	8.97500	2.50000	0.32500	84.63000	1.07397	25.93600	3.00000	9.00000	0.00000	0.24250	85.75000	1.07742	22.51700	2.50000	8.90000	7.50000
B2721-144	2.70830	1.08673	22.56500	1.00000	8.62900	17.70000	1.17400	67.63000	1.07956	20.89800	1.00000	8.75000	20.00000	0.50150	109.25000	1.08291	15.81500	0.50000	9.00000	0.00000	0.49800	90.37500	1.07288	20.87600	2.50000	8.92500	8.92500
B2721-145	1.95830	1.08248	22.70400	1.00000	9.00000	0.00000	0.91500	97.00000	1.08555	22.48000	0.00000	9.00000	0.00000	0.52800	124.13000	1.08350	19.80500	0.50000	9.00000	0.00000	0.49550	98.12500	1.07759	19.98400	1.00000	9.00000	0.00000
B2721-146	2.75000	1.06978	20.18800	0.00000	8.49100	28.30000	1.17800	97.00000	1.07495	21.55600	0.50000	8.80000	10.00000	0.70250	106.88000	1.07845	21.12300	0.00000	9.00000	0.00000	1.07600	92.37500	1.06947	21.75000	1.50000	8.22500	8.22500
B2721-147	1.30830	1.06538	21.95200	1.00000	9.00000	0.00000	0.76950	86.00000	1.07199	21.38100	1.50000	9.00000	0.00000	0.42250	118.00000	1.07077	20.78000	0.00000	9.00000	0.00000	0.54550	93.25000	1.07021	20.71700	2.00000	9.00000	0.00000
B2721-148	1.35000	1.06798	21.56400	0.00000	8.95800	4.20000	0.24300	97.13000	1.07344	20.53000	0.00000	8.89300	3.60000	0.25600	116.63000	1.07784	19.57400	0.00000	9.00000	0.00000	0.39350	95.25000	1.07042	20.91300	0.00000	8.85000	8.85000
B2721-149	2.80000	1.07086	21.41700	0.00000	8.96100	2.00000	1.19400	68.13000	1.07322	20.06500	0.50000	8.90000	10.00000	0.70850	48.63000	1.06495	18.91900	0.00000	8.97500	2.50000	0.56850	91.50000	1.07108	19.08800	1.50000	8.88676	8.38235
